BPM,Dance,Energy,Key,Duration_sec,Camelot,TrueGenre
122.0,0.65,0.82,A#/B♭ Minor,236.0,3A,Melodic Techno
126.0,0.56,0.9,C♯/D♭ Minor,249.0,12A,Melodic Techno
124.0,0.7,0.82,A#/B♭ Minor,201.0,3A,Melodic Techno
160.0,0.63,0.84,F Minor,218.0,4A,Hard Techno
126.0,0.56,0.9,D#/E♭ Minor,249.0,12A,Melodic Techno
125.0,0.61,0.86,C♯/D♭ Major,186.0,3B,Melodic Techno
160.0,0.57,0.99,B Major,169.0,1B,Hard Techno
138.0,0.54,1.0,B Major,368.0,1B,Hard Techno
120.0,0.58,0.55,A Minor,252.0,8A,Melodic Techno
120.0,0.58,0.55,A Minor,252.0,8A,Melodic Techno
